NCM;Categoria;Descricao;InicioVigencia;FimVigencia;UTrib;DescricaoUTrib;Observacao
30039066;PRODUTOS FARMACÊUTICOS;"30039066 - MED.C/AC.CLODRÔNICO,ESTREPTOZOCINA;FOTEMUST.";01/01/2016;;KG;QUILOGRAMA;
30039067;PRODUTOS FARMACÊUTICOS;30039067 - MED.C/CARBOCISTEÍNA OU SULFIRAM Ñ DOS./RET.;01/01/2016;;KG;QUILOGRAMA;
30039069;PRODUTOS FARMACÊUTICOS;30039069 - OUT.MED.C/TIOCOMPOSTOS ORG.Ñ DOSES,Ñ RET.;01/01/2016;;KG;QUILOGRAMA;
30039071;PRODUTOS FARMACÊUTICOS;"30039071 - MED.C/TERFENADINA;TALNIFLUMATO;MAL.AC.CLEB.";01/01/2016;;KG;QUILOGRAMA;
30039072;PRODUTOS FARMACÊUTICOS;"30039072 - MED.C/CLOR.LOPERAMIDA;FEMBENDAZOL; ETC.";01/01/2016;;KG;QUILOGRAMA;
30039073;PRODUTOS FARMACÊUTICOS;"30039073 - MED.C/ALBENDAZOL/SULFÓXIDO; MEBENDAZOL; ETC.";01/01/2016;;KG;QUILOGRAMA;
30039074;PRODUTOS FARMACÊUTICOS;"30039074 - MED.C/ALPRAZOLAM;BROMAZEPAM;CLORDIAZEPÓX.ETC.";01/01/2016;;KG;QUILOGRAMA;
30039075;PRODUTOS FARMACÊUTICOS;"30039075 - MED.C/BENZETIMIDA;FENITOÍNA;ISONIAZ.;PIRAZ.";01/01/2016;;KG;QUILOGRAMA;
30039076;PRODUTOS FARMACÊUTICOS;30039076 - MED.C/ÁCIDO NICOTÍNICO OU SEU SAL DE LISINA;01/01/2016;;KG;QUILOGRAMA;
30039077;PRODUTOS FARMACÊUTICOS;"30039077 - MED.C/ENROFLOXACINA;MALEATO D/ENALAPRIL ETC.";01/01/2016;;KG;QUILOGRAMA;
30039078;PRODUTOS FARMACÊUTICOS;"30039078 - ALTRETAMINA; BORTEZOMIB; CLORIDRATO DE ERLOTINIBE;...";01/01/2016;;KG;QUILOGRAMA;
30039079;PRODUTOS FARMACÊUTICOS;30039079 - OUTROS;01/01/2016;;KG;QUILOGRAMA;
30039081;PRODUTOS FARMACÊUTICOS;30039081 - MED.C/LEVAMISOL OU SEUS SAIS,TETRAMISOL;01/01/2016;;KG;QUILOGRAMA;
30039082;PRODUTOS FARMACÊUTICOS;"30039082 - MED.C/SULFADIAZINA/SAL SÓDICO;SULFAMETOXAZOL";01/01/2016;;KG;QUILOGRAMA;
30039083;PRODUTOS FARMACÊUTICOS;"30039083 - MED.C/CLOXAZOLAM;KETAZOLAM;ETC Ñ DOS.Ñ RET.";01/01/2016;;KG;QUILOGRAMA;
30039084;PRODUTOS FARMACÊUTICOS;"30039084 - MED.C/FTALILSULFATIAZOL;INOSINA,Ñ DOS.Ñ RET.";01/01/2016;;KG;QUILOGRAMA;
30039085;PRODUTOS FARMACÊUTICOS;30039085 - MED.C/ENANTATO DE FLUFENAZINA, ETC.;01/01/2016;;KG;QUILOGRAMA;
30039086;PRODUTOS FARMACÊUTICOS;"30039086 - MED.C/CLORTALIDONA;FUROSEMIDA Ñ DOSES Ñ RET.";01/01/2016;;KG;QUILOGRAMA;
30039087;PRODUTOS FARMACÊUTICOS;"30039087 - MED.C/CLORID.D/TIZANIDINA;CETOCONAZOL,ETC";01/01/2016;;KG;QUILOGRAMA;
30039088;PRODUTOS FARMACÊUTICOS;"30039088 - AMPRENAVIR;APREPITANTO;DELAVIRDINA OU SEU MESILATO;...";01/01/2016;;KG;QUILOGRAMA;
30039089;PRODUTOS FARMACÊUTICOS;30039089 - OUTROS;01/01/2016;;KG;QUILOGRAMA;
30039091;PRODUTOS FARMACÊUTICOS;30039091 - MED.C/EXTRATO DE PÓLEN, Ñ DOSES, Ñ RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30039092;PRODUTOS FARMACÊUTICOS;"30039092 - MED.C/CRISAROBINA; DISOFENOL;Ñ DOS./RET.";01/01/2016;;KG;QUILOGRAMA;
30039093;PRODUTOS FARMACÊUTICOS;30039093 - MED.COM DICOFLENACO RESINATO,Ñ DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30039094;PRODUTOS FARMACÊUTICOS;30039094 - OUTS.MED.C/SILIMARINA, Ñ DOSES, Ñ RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30039095;PRODUTOS FARMACÊUTICOS;"30039095 - MED.C/BUSSULFANO; DEXORMAPL.,DIETILESTILB.,ETC.";01/01/2016;;KG;QUILOGRAMA;
30039096;PRODUTOS FARMACÊUTICOS;30039096 - COMPLEXO DE FERRO DEXTRANA;01/01/2016;;KG;QUILOGRAMA;
30039099;PRODUTOS FARMACÊUTICOS;30039099 - OUTS.MED.C/PRODS.MISTURADOS, Ñ DOS./Ñ RET.;01/01/2016;;KG;QUILOGRAMA;
30041011;PRODUTOS FARMACÊUTICOS;30041011 - MED.COM AMPICILINA OU SEUS SAIS, EM DOS/RET.;01/01/2016;;KG;QUILOGRAMA;
30041012;PRODUTOS FARMACÊUTICOS;30041012 - MED.C/AMOXICILINA/SEUS SAIS, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30041013;PRODUTOS FARMACÊUTICOS;30041013 - MED.C/PENICILINA G BENZATÍNICA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30041014;PRODUTOS FARMACÊUTICOS;30041014 - MED.C/PENICILINA G POTÁSSICA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30041015;PRODUTOS FARMACÊUTICOS;30041015 - MED.C/PENICILINA G PROCAÍNICA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30041019;PRODUTOS FARMACÊUTICOS;30041019 - MED.C/OUTS PENICILINAS E DER., EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30041020;PRODUTOS FARMACÊUTICOS;30041020 - MED.C/ESTREPTOMICINA E DERIV., EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042011;PRODUTOS FARMACÊUTICOS;30042011 - MED.C/CLORANFENICOL/SEU PALMITATO, ETC.;01/01/2016;;KG;QUILOGRAMA;
30042019;PRODUTOS FARMACÊUTICOS;30042019 - MED.C/OUTS.ANTIBIÓTICOS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042021;PRODUTOS FARMACÊUTICOS;30042021 - MED.C/ERITROMICINA/SAIS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042029;PRODUTOS FARMACÊUTICOS;30042029 - OUTS.MED.C/MACROLÍDIOS,DERIV., EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042031;PRODUTOS FARMACÊUTICOS;30042031 - MED.C/RIFAMICINA SV SÓDICA, EM DOS./RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042032;PRODUTOS FARMACÊUTICOS;30042032 - MED.C/RIFAMPICINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042039;PRODUTOS FARMACÊUTICOS;30042039 - OUTS.MED.C/ANSAMICINAS E DER.,EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042041;PRODUTOS FARMACÊUTICOS;30042041 - MED.C/CLORIDRATO D/LINCOMICINA,EM DOS./RET.;01/01/2016;;KG;QUILOGRAMA;
30042049;PRODUTOS FARMACÊUTICOS;30042049 - OUTS.MED.C/LINCOSAMIDAS,DER.,EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042051;PRODUTOS FARMACÊUTICOS;30042051 - MED.C/CEFALOTINA SÓDICA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042052;PRODUTOS FARMACÊUTICOS;30042052 - MED.C/CEFACLOR OU CEFALEXINA EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042059;PRODUTOS FARMACÊUTICOS;30042059 - OUTS.MED.C/CEFALOSPORINAS,CEFAMICINAS,ETC.;01/01/2016;;KG;QUILOGRAMA;
30042061;PRODUTOS FARMACÊUTICOS;30042061 - MED.C/SULFATO DE GENTAMICINA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042062;PRODUTOS FARMACÊUTICOS;30042062 - MED.C/DAUNORUBICINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042063;PRODUTOS FARMACÊUTICOS;"30042063 - MED.C/PIRARUBICINA;IDARUBICINA EM DOSES/RET.";01/01/2016;;KG;QUILOGRAMA;
30042069;PRODUTOS FARMACÊUTICOS;30042069 - OUTS.MED.C/AMINOGLUSÍDIOS/DERIV.EM DOS./RET.;01/01/2016;;KG;QUILOGRAMA;
30042071;PRODUTOS FARMACÊUTICOS;30042071 - MED.C/VANCOMICINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042072;PRODUTOS FARMACÊUTICOS;30042072 - ACTINOMICINAS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042073;PRODUTOS FARMACÊUTICOS;30042073 - MED.C/CICLOSPORINA A, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042079;PRODUTOS FARMACÊUTICOS;30042079 - OUTS.C/POLIPEPTÍDIOS OU DERIV., EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042091;PRODUTOS FARMACÊUTICOS;30042091 - OUTS.MED.C/MITOMICINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042092;PRODUTOS FARMACÊUTICOS;30042092 - OUTS.MED.FUMARATO D/TIAMULINA, DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30042093;PRODUTOS FARMACÊUTICOS;30042093 - MED.C/BLEOMICINAS/SAIS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042094;PRODUTOS FARMACÊUTICOS;30042094 - MED.C/IMIPENEM, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30042095;PRODUTOS FARMACÊUTICOS;30042095 - MEDS.C/ANFOTER.B EM LIPOSSOMAS,DOSES,VENDA RET.;01/01/2016;;KG;QUILOGRAMA;
30042099;PRODUTOS FARMACÊUTICOS;30042099 - MED.C/OUTS ANTIBIÓTICOS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043100;PRODUTOS FARMACÊUTICOS;30043100 - MED.C/INSULINA EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043210;PRODUTOS FARMACÊUTICOS;30043210 - MED.C/HORMÔNIOS CORTICOSTERÓIDES, DOSES;01/01/2016;;KG;QUILOGRAMA;
30043220;PRODUTOS FARMACÊUTICOS;30043220 - MED.C/ESPIRONOLACTONA, EM DOSES;01/01/2016;;KG;QUILOGRAMA;
30043290;PRODUTOS FARMACÊUTICOS;30043290 - OUTS.MED.C/HORMS.CORTICOSTS.,S/DERS.E ANÁLS;01/01/2016;;KG;QUILOGRAMA;
30043911;PRODUTOS FARMACÊUTICOS;30043911 - MED.C/HORMS.D/CRESC.(SOMATOTROPINA),DOSES;01/01/2016;;KG;QUILOGRAMA;
30043912;PRODUTOS FARMACÊUTICOS;30043912 - MED.GONADOTROPINA CORIÔNICA (HCG),EM DOSES;01/01/2016;;KG;QUILOGRAMA;
30043913;PRODUTOS FARMACÊUTICOS;30043913 - MED.C/MENOTROPINAS EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043914;PRODUTOS FARMACÊUTICOS;30043914 - MED.CORTICOTROPINA (ACTH), EM DOS./RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043915;PRODUTOS FARMACÊUTICOS;30043915 - MED.GONADOTROPINA SÉRICA (PMSG) EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043916;PRODUTOS FARMACÊUTICOS;30043916 - MED.C/SOMATOSTATINA/SEUS SAIS,EM DOS./RET.;01/01/2016;;KG;QUILOGRAMA;
30043917;PRODUTOS FARMACÊUTICOS;30043917 - MED.C/BUSERELINA/SEU ACETATO,EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043918;PRODUTOS FARMACÊUTICOS;30043918 - MED.C/TRIPTORELINA/SEUS SAIS, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043919;PRODUTOS FARMACÊUTICOS;30043919 - MED.C/LEUPROLIDA OU SEU ACETATO;01/01/2016;;KG;QUILOGRAMA;
30043921;PRODUTOS FARMACÊUTICOS;30043921 - MED.C/LH-RH (GONADORELINA), EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043922;PRODUTOS FARMACÊUTICOS;30043922 - MED.C/OXITOCINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043923;PRODUTOS FARMACÊUTICOS;30043923 - MED.C/SAIS DE INSULINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043924;PRODUTOS FARMACÊUTICOS;30043924 - MED.C/TIMOSINAS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043925;PRODUTOS FARMACÊUTICOS;30043925 - MED.C/CALCITONINA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043926;PRODUTOS FARMACÊUTICOS;30043926 - MEDICAMENTO C/OCTREOTIDA,EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043927;PRODUTOS FARMACÊUTICOS;30043927 - MEDICAMENTO C/GOSELERINA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043928;PRODUTOS FARMACÊUTICOS;30043928 - MED.C/NAFARELINA OU SEU ACETATO, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043929;PRODUTOS FARMACÊUTICOS;30043929 - MED.C/OUTS.HORM.POL./PROT.,DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043931;PRODUTOS FARMACÊUTICOS;30043931 - MED.C/HEMISSUCCINATO DE ESTRADIOL,DOS./RET.;01/01/2016;;KG;QUILOGRAMA;
30043932;PRODUTOS FARMACÊUTICOS;30043932 - MED.C/FEMPROPIONATO DE ESTRADIOL,DOS./RET.;01/01/2016;;KG;QUILOGRAMA;
30043933;PRODUTOS FARMACÊUTICOS;30043933 - MED.C/ESTRIOL OU SEU SUCCINATO, DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043934;PRODUTOS FARMACÊUTICOS;30043934 - MED.C/ALILESTRENOL, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043935;PRODUTOS FARMACÊUTICOS;30043935 - MED.C/LINESTRENOL, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043936;PRODUTOS FARMACÊUTICOS;"30043936 - MED.C/MEGESTROL;FORMESTANO;FULVEST.EM DOSES";01/01/2016;;KG;QUILOGRAMA;
30043937;PRODUTOS FARMACÊUTICOS;30043937 - MED.C/DESOGESTREL, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043939;PRODUTOS FARMACÊUTICOS;30043939 - OUTS.MED.C/ESTROGÊNIOS OU PROGESTOGÊNIOS;01/01/2016;;KG;QUILOGRAMA;
30043981;PRODUTOS FARMACÊUTICOS;30043981 - MED.COM LEVOTIROXINA SÓDICA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043982;PRODUTOS FARMACÊUTICOS;30043982 - MED.COM LIOTIRONINA SÓDICA, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043991;PRODUTOS FARMACÊUTICOS;30043991 - MED.C/SAL SÓDICO E.MET.ÁCIDO 9,11,15-TRIIDROXI;01/01/2016;;KG;QUILOGRAMA;
30043992;PRODUTOS FARMACÊUTICOS;30043992 - MED.C/TIRATRICOL/SAL SÓDICO,EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30043994;PRODUTOS FARMACÊUTICOS;30043994 - MED.CONTENDO EXEMESTANO, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30043999;PRODUTOS FARMACÊUTICOS;30043999 - OUTS.MED.C/HORMÔNIOS,SEM ANTIB.,DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30044010;PRODUTOS FARMACÊUTICOS;30044010 - MED.C/VIMBLASTINA,VINCRISTINA,ETC.,DOS./RET.;01/01/2016;31/03/2017;KG;QUILOGRAMA;
30044020;PRODUTOS FARMACÊUTICOS;30044020 - MED.C/PILOCARPINA,NITRATO/CLORIDR.,DOS/RET.;01/01/2016;31/03/2017;KG;QUILOGRAMA;
30044030;PRODUTOS FARMACÊUTICOS;30044030 - MED.C/METANOSSULFONATO D/DIIDR. DOSES, RET.;01/01/2016;31/03/2017;KG;QUILOGRAMA;
30044040;PRODUTOS FARMACÊUTICOS;30044040 - MED.C/CODEÍNA/SEUS SAIS,EM DOSES/RETALHOS;01/01/2016;31/03/2017;KG;QUILOGRAMA;
30044050;PRODUTOS FARMACÊUTICOS;"30044050 - MED.C/GRANISETRON;TROPISETRONA,EM DOS./RET.";01/01/2016;31/03/2017;KG;QUILOGRAMA;
30044090;PRODUTOS FARMACÊUTICOS;30044090 - MED.C/ALCALÓIDES.,DERIV.SEM HORM.SEM ANTIB.;01/01/2016;31/03/2017;KG;QUILOGRAMA;
30044100;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044200;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044300;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044910;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044920;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044930;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044940;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044950;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30044990;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30045010;PRODUTOS FARMACÊUTICOS;30045010 - MED.C/ FOLINATO DE CÁLCIO (LEUCOVORINA);01/01/2016;;KG;QUILOGRAMA;
30045020;PRODUTOS FARMACÊUTICOS;30045020 - MED. CONT. NICOTINAMIDA EM DOSES/RETALHO;01/01/2016;;KG;QUILOGRAMA;
30045030;PRODUTOS FARMACÊUTICOS;"30045030 - MED.C/HIDROXOCOBALAMINA;CIANOCOBALAMINA";01/01/2016;;KG;QUILOGRAMA;
30045040;PRODUTOS FARMACÊUTICOS;30045040 - MED.C/VIT A1(RETINOL) DERIVS.EXC.AC.RETINÓICO;01/01/2016;;KG;QUILOGRAMA;
30045050;PRODUTOS FARMACÊUTICOS;"30045050 - MED.C/D-PANTOTENATO D/CÁLCIO;VITAMINA D3";01/01/2016;;KG;QUILOGRAMA;
30045060;PRODUTOS FARMACÊUTICOS;30045060 - MED C/ÁCIDO RETINÓICO (TRETINOÍNA);01/01/2016;;KG;QUILOGRAMA;
30045090;PRODUTOS FARMACÊUTICOS;30045090 - MED.C/OUTS.VITAMINAS/PROVITAMINAS,EM DOSES;01/01/2016;;KG;QUILOGRAMA;
30046000;PRODUTOS FARMACÊUTICOS;Novo NCM;01/01/2017;;KG;QUILOGRAMA;
30049011;PRODUTOS FARMACÊUTICOS;30049011 - MED.C/ESTREPTOQUINASE, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049012;PRODUTOS FARMACÊUTICOS;30049012 - MED.C/ L-ASPARAGINASE, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049013;PRODUTOS FARMACÊUTICOS;30049013 - MED.C/DEOXIRRIBONUCLEASE, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30049019;PRODUTOS FARMACÊUTICOS;30049019 - MED.C/OUTRAS ENZIMAS, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049021;PRODUTOS FARMACÊUTICOS;"30049021 - MED.C/PERMETRINA;NITRATO DE PROPATILA, ETC.";01/01/2016;;KG;QUILOGRAMA;
30049022;PRODUTOS FARMACÊUTICOS;"30049022 - MED.C/ÁCIDO CÓLICO; ETC. EM DOSES/RETALHO";01/01/2016;;KG;QUILOGRAMA;
30049023;PRODUTOS FARMACÊUTICOS;30049023 - MED.C/ÁCIDO GLUCÔNICO/SAIS E ÉSTERES;01/01/2016;;KG;QUILOGRAMA;
30049024;PRODUTOS FARMACÊUTICOS;"30049024 - MED.C/ÁCIDO O-ACETILSALICÍLICO; DICLORVÓS";01/01/2016;;KG;QUILOGRAMA;
30049025;PRODUTOS FARMACÊUTICOS;30049025 - MED.C/LACTOFOSFATO DE CÁLCIO;01/01/2016;;KG;QUILOGRAMA;
30049026;PRODUTOS FARMACÊUTICOS;"30049026 - MED.C/ÁCIDO LÁCTICO/SAIS/ÉSTERES;ETC,EM DOS.";01/01/2016;;KG;QUILOGRAMA;
30049027;PRODUTOS FARMACÊUTICOS;30049027 - MED.C/NITROGLICERINA DEST. A VIA PERCUTÂNEA;01/01/2016;;KG;QUILOGRAMA;
30049028;PRODUTOS FARMACÊUTICOS;"30049028 - MED.C/ETRETINATO; FOSFESTROL; VENDA RETALHO";01/01/2016;;KG;QUILOGRAMA;
30049029;PRODUTOS FARMACÊUTICOS;30049029 - OUTS.MED.C/AC.MONOCARBOX. ACÍCLICO;01/01/2016;;KG;QUILOGRAMA;
30049031;PRODUTOS FARMACÊUTICOS;30049031 - MED.C/SULFATO D/TRANILCIPROMINA,DOSES, RET.;01/01/2016;;KG;QUILOGRAMA;
30049032;PRODUTOS FARMACÊUTICOS;30049032 - MED.C/CLORIDRATO D/KETAMINA,DOSES,RET.;01/01/2016;;KG;QUILOGRAMA;
30049033;PRODUTOS FARMACÊUTICOS;30049033 - MED.C/CLEMBUTEROL OU SEU CLORIDRATO;01/01/2016;;KG;QUILOGRAMA;
30049034;PRODUTOS FARMACÊUTICOS;30049034 - MED.C/TAMOXIFEN OU SEU CITRATO,DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30049035;PRODUTOS FARMACÊUTICOS;30049035 - MED.C/LEVODOPA, ALFA-METILDOPA, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049036;PRODUTOS FARMACÊUTICOS;30049036 - MED.C/CLORIDRATO D/FENILEFRINA,MIRTECAÍNA;01/01/2016;;KG;QUILOGRAMA;
30049037;PRODUTOS FARMACÊUTICOS;30049037 - MED.C/DICLOFENACO D/SÓDIO E OUTROS DICLOS.;01/01/2016;;KG;QUILOGRAMA;
30049038;PRODUTOS FARMACÊUTICOS;"30049038 - MED.C/CLORAMBUCIL; CLORMETINA;ETC.EM DOSES";01/01/2016;;KG;QUILOGRAMA;
30049039;PRODUTOS FARMACÊUTICOS;30049039 - OUTS.MED.C/COMPS.D/FUNÇÃO AMINA,DOSES,RET.;01/01/2016;;KG;QUILOGRAMA;
30049041;PRODUTOS FARMACÊUTICOS;"30049041 - MED.C/METOCLOPRAMIDA/CLORIDRATO;CLOSANTEL";01/01/2016;;KG;QUILOGRAMA;
30049042;PRODUTOS FARMACÊUTICOS;"30049042 - MED.C/ATENOLOL/PRILOCAÍNA;TALIDOMIDA";01/01/2016;;KG;QUILOGRAMA;
30049043;PRODUTOS FARMACÊUTICOS;"30049043 - MED.C/LIDOCAÍNA/SEU CLORIDRATO;FLUTAMIDA";01/01/2016;;KG;QUILOGRAMA;
30049044;PRODUTOS FARMACÊUTICOS;30049044 - MED.C/FEMPROPOREX, EM DOSES/RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049045;PRODUTOS FARMACÊUTICOS;30049045 - MED.C/PARACETAMOL/BROMOPRIDA, EM DOSES;01/01/2016;;KG;QUILOGRAMA;
30049046;PRODUTOS FARMACÊUTICOS;30049046 - MED.C/AMITRAZ/CIPERMETRINA EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30049047;PRODUTOS FARMACÊUTICOS;"30049047 - MED.C/CLOREXIDINA/SAIS;ISETIONATO D/PENTAMID.";01/01/2016;;KG;QUILOGRAMA;
30049048;PRODUTOS FARMACÊUTICOS;"30049048 - MED.C/AMINOGLUTETIMIDA;CARMUSTINA; ETC.DOSES";01/01/2016;;KG;QUILOGRAMA;
30049049;PRODUTOS FARMACÊUTICOS;30049049 - OUTS.MED.C/COMP.D/FUNÇÃO CARBOXIAM.,DOSES;01/01/2016;;KG;QUILOGRAMA;
30049051;PRODUTOS FARMACÊUTICOS;"30049051 - MED.CONTENDO QUERCETINA;EM DOSES OU RETALHO";01/01/2016;;KG;QUILOGRAMA;
30049052;PRODUTOS FARMACÊUTICOS;30049052 - MED.C/TIAPRIDA, EM DOSES, EM RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049053;PRODUTOS FARMACÊUTICOS;30049053 - MED.C/ETIDRONATO DISSÓDICO, EM DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30049054;PRODUTOS FARMACÊUTICOS;30049054 - MED.C/CLORIDRATO D/AMIODARONA, DOSES/RET.;01/01/2016;;KG;QUILOGRAMA;
30049055;PRODUTOS FARMACÊUTICOS;30049055 - MED.C/NITROVIN/MOXIDECTINA, DOSES, RETALHOS;01/01/2016;;KG;QUILOGRAMA;
30049057;PRODUTOS FARMACÊUTICOS;"30049057 - MED.C/CARBOCISTEÍNA;SULFIRAM, DOSES,RET.";01/01/2016;;KG;QUILOGRAMA;
30049058;PRODUTOS FARMACÊUTICOS;"30049058 - MED.C/ÁCIDO CLODRÔNICO; ETC.; EM DOSES/RET.";01/01/2016;;KG;QUILOGRAMA;
30049059;PRODUTOS FARMACÊUTICOS;30049059 - OUTS.MED.C/TIOCOMPOSTOS ORGÂN.,DOSE,RETS.;01/01/2016;;KG;QUILOGRAMA;
30049061;PRODUTOS FARMACÊUTICOS;30049061 - MED.C/TERFENADINA/TALNIFLUMATO,ETC.,DOSES;01/01/2016;;KG;QUILOGRAMA;
30049062;PRODUTOS FARMACÊUTICOS;"30049062 - MED.C/CLORIDRATO D/LOPERAMIDA;ETC. EM DOSES";01/01/2016;;KG;QUILOGRAMA;
30049063;PRODUTOS FARMACÊUTICOS;"30049063 - MED.C/ALBENDAZOL/SEU SULFÓXIDO;ETC.EM DOSES";01/01/2016;;KG;QUILOGRAMA;
30049064;PRODUTOS FARMACÊUTICOS;"30049064 - MED.C/ALPRAZOLAM;BROMAZEPAM.ETC. EM DOSES";01/01/2016;;KG;QUILOGRAMA;
30049065;PRODUTOS FARMACÊUTICOS;30049065 - MED.C/BENZETIMDA/SAL SÓDICO,ETC.,EM DOSES;01/01/2016;;KG;QUILOGRAMA;
30049066;PRODUTOS FARMACÊUTICOS;30049066 - MED.C/AC.2-(2-METIL-3-CLOROANILINA),ETC.,DOSES;01/01/2016;;KG;QUILOGRAMA;
30049067;PRODUTOS FARMACÊUTICOS;"30049067 - MED.C/ENROFLOXACINA;ETC. EM DOSES";01/01/2016;;KG;QUILOGRAMA;
30049068;PRODUTOS FARMACÊUTICOS;"30049068 - ALTRETAMINA; BORTEZOMIB; CLORIDRATO DE ERLOTINIBE;...";01/01/2016;;KG;QUILOGRAMA;
30049069;PRODUTOS FARMACÊUTICOS;30049069 - OUTROS;01/01/2016;;KG;QUILOGRAMA;
30049071;PRODUTOS FARMACÊUTICOS;"30049071 - MED.C/LEVAMISOL/SAIS;TETRAMISCOL.,DOSES,RET.";01/01/2016;;KG;QUILOGRAMA;
